nohup: ignoring input

  4%|▎         | 186/5000 [00:18<08:00, 10.01it/s, loss=-1.71]
  4%|▎         | 186/5000 [00:18<08:00, 10.01it/s, loss=-1.72]
  4%|▍         | 188/5000 [00:18<07:55, 10.12it/s, loss=-1.72]
  4%|▍         | 188/5000 [00:18<07:55, 10.12it/s, loss=-1.72]
  4%|▍         | 188/5000 [00:18<07:55, 10.12it/s, loss=-1.72]
  4%|▍         | 190/5000 [00:18<07:53, 10.15it/s, loss=-1.72]
  4%|▍         | 190/5000 [00:19<07:53, 10.15it/s, loss=-1.72]
  4%|▍         | 190/5000 [00:19<07:53, 10.15it/s, loss=-1.72]
  4%|▍         | 192/5000 [00:19<08:07,  9.86it/s, loss=-1.72]
  4%|▍         | 192/5000 [00:19<08:07,  9.86it/s, loss=-1.73]
  4%|▍         | 192/5000 [00:19<08:07,  9.86it/s, loss=-1.73]
  4%|▍         | 194/5000 [00:19<08:02,  9.96it/s, loss=-1.73]
  4%|▍         | 194/5000 [00:19<08:02,  9.96it/s, loss=-1.73]
  4%|▍         | 194/5000 [00:19<08:02,  9.96it/s, loss=-1.73]
  4%|▍         | 196/5000 [00:19<07:58, 10.04it/s, loss=-1.73]
  4%|▍         | 196/5000 [00:19<07:58, 10.04it/s, loss=-1.74]
  4%|▍         | 196/5000 [00:19<07:58, 10.04it/s, loss=-1.74]
  4%|▍         | 198/5000 [00:19<07:52, 10.17it/s, loss=-1.74]
  4%|▍         | 198/5000 [00:19<07:52, 10.17it/s, loss=-1.74]
  4%|▍         | 198/5000 [00:19<07:52, 10.17it/s, loss=-1.74]
  4%|▍         | 200/5000 [00:19<07:53, 10.13it/s, loss=-1.74]
  4%|▍         | 200/5000 [00:20<07:53, 10.13it/s, loss=-1.74]
  4%|▍         | 200/5000 [00:20<07:53, 10.13it/s, loss=-1.75]
  4%|▍         | 202/5000 [00:20<07:53, 10.13it/s, loss=-1.75]
  4%|▍         | 202/5000 [00:20<07:53, 10.13it/s, loss=-1.75]
  4%|▍         | 202/5000 [00:20<07:53, 10.13it/s, loss=-1.75]
  4%|▍         | 204/5000 [00:20<07:57, 10.05it/s, loss=-1.75]
  4%|▍         | 204/5000 [00:20<07:57, 10.05it/s, loss=-1.75]
  4%|▍         | 204/5000 [00:20<07:57, 10.05it/s, loss=-1.75]
  4%|▍         | 206/5000 [00:20<07:56, 10.07it/s, loss=-1.75]
  4%|▍         | 206/5000 [00:20<07:56, 10.07it/s, loss=-1.75]
  4%|▍         | 206/5000 [00:20<07:56, 10.07it/s, loss=-1.76]
  4%|▍         | 208/5000 [00:20<08:02,  9.93it/s, loss=-1.76]
  4%|▍         | 208/5000 [00:20<08:02,  9.93it/s, loss=-1.76]
  4%|▍         | 208/5000 [00:20<08:02,  9.93it/s, loss=-1.76]
  4%|▍         | 210/5000 [00:20<07:58, 10.02it/s, loss=-1.76]
  4%|▍         | 210/5000 [00:21<07:58, 10.02it/s, loss=-1.76]
  4%|▍         | 210/5000 [00:21<07:58, 10.02it/s, loss=-1.76]
  4%|▍         | 212/5000 [00:21<07:50, 10.17it/s, loss=-1.76]
  4%|▍         | 212/5000 [00:21<07:50, 10.17it/s, loss=-1.76]
  4%|▍         | 212/5000 [00:21<07:50, 10.17it/s, loss=-1.76]
  4%|▍         | 214/5000 [00:21<07:49, 10.19it/s, loss=-1.76]
  4%|▍         | 214/5000 [00:21<07:49, 10.19it/s, loss=-1.77]
  4%|▍         | 214/5000 [00:21<07:49, 10.19it/s, loss=-1.77]
  4%|▍         | 216/5000 [00:21<07:47, 10.23it/s, loss=-1.77]
  4%|▍         | 216/5000 [00:21<07:47, 10.23it/s, loss=-1.77]
  4%|▍         | 216/5000 [00:21<07:47, 10.23it/s, loss=-1.77]
  4%|▍         | 218/5000 [00:21<07:48, 10.20it/s, loss=-1.77]
  4%|▍         | 218/5000 [00:21<07:48, 10.20it/s, loss=-1.77]
  4%|▍         | 218/5000 [00:21<07:48, 10.20it/s, loss=-1.77]
  4%|▍         | 220/5000 [00:21<07:50, 10.16it/s, loss=-1.77]
  4%|▍         | 220/5000 [00:21<07:50, 10.16it/s, loss=-1.77]
  4%|▍         | 220/5000 [00:22<07:50, 10.16it/s, loss=-1.78]
  4%|▍         | 222/5000 [00:22<07:50, 10.15it/s, loss=-1.78]
  4%|▍         | 222/5000 [00:22<07:50, 10.15it/s, loss=-1.78]
  4%|▍         | 222/5000 [00:22<07:50, 10.15it/s, loss=-1.78]
  4%|▍         | 224/5000 [00:22<07:49, 10.17it/s, loss=-1.78]
  4%|▍         | 224/5000 [00:22<07:49, 10.17it/s, loss=-1.78]
  4%|▍         | 224/5000 [00:22<07:49, 10.17it/s, loss=-1.78]
  5%|▍         | 226/5000 [00:22<07:48, 10.20it/s, loss=-1.78]
  5%|▍         | 226/5000 [00:22<07:48, 10.20it/s, loss=-1.78]
  5%|▍         | 226/5000 [00:22<07:48, 10.20it/s, loss=-1.78]
