scenario,scenario_display,sample_idx,target_region,target_region_idx,aggregate_type,method,mse,mae,crps,interval_score,ci_width,coverage
HCM,Multi-territory MI (μ=1.7),26,All Regions,-1,Diseased Avg,Point Estimate,0.044130,0.137974,0.137974,,0.000000,
HCM,Multi-territory MI (μ=1.7),26,All Regions,-1,Diseased Avg,MCMC,0.006591,,0.087947,1.133430,1.133430,1.000000
HCM,Multi-territory MI (μ=1.7),27,All Regions,-1,Overall Avg,Point Estimate,0.029170,0.108885,0.108885,,0.000000,
HCM,Multi-territory MI (μ=1.7),27,All Regions,-1,Overall Avg,MCMC,0.007385,,0.078778,0.974752,0.974752,1.000000
HCM,Multi-territory MI (μ=1.7),27,All Regions,-1,Diseased Avg,Point Estimate,0.029170,0.108885,0.108885,,0.000000,
HCM,Multi-territory MI (μ=1.7),27,All Regions,-1,Diseased Avg,MCMC,0.007385,,0.078778,0.974752,0.974752,1.000000
HCM,Multi-territory MI (μ=1.7),28,All Regions,-1,Overall Avg,Point Estimate,0.029407,0.096765,0.096765,,0.000000,
HCM,Multi-territory MI (μ=1.7),28,All Regions,-1,Overall Avg,MCMC,0.005855,,0.077858,0.989128,0.989128,1.000000
HCM,Multi-territory MI (μ=1.7),28,All Regions,-1,Diseased Avg,Point Estimate,0.029407,0.096765,0.096765,,0.000000,
HCM,Multi-territory MI (μ=1.7),28,All Regions,-1,Diseased Avg,MCMC,0.005855,,0.077858,0.989128,0.989128,1.000000
HCM,Multi-territory MI (μ=1.7),29,All Regions,-1,Overall Avg,Point Estimate,0.039424,0.122400,0.122400,,0.000000,
HCM,Multi-territory MI (μ=1.7),29,All Regions,-1,Overall Avg,MCMC,0.006100,,0.089400,1.182196,1.182196,1.000000
HCM,Multi-territory MI (μ=1.7),29,All Regions,-1,Diseased Avg,Point Estimate,0.039424,0.122400,0.122400,,0.000000,
HCM,Multi-territory MI (μ=1.7),29,All Regions,-1,Diseased Avg,MCMC,0.006100,,0.089400,1.182196,1.182196,1.000000
HCM,Multi-territory MI (μ=1.7),30,All Regions,-1,Overall Avg,Point Estimate,0.048870,0.132947,0.132947,,0.000000,
HCM,Multi-territory MI (μ=1.7),30,All Regions,-1,Overall Avg,MCMC,0.006462,,0.081066,1.053807,1.053807,1.000000
HCM,Multi-territory MI (μ=1.7),30,All Regions,-1,Diseased Avg,Point Estimate,0.048870,0.132947,0.132947,,0.000000,
HCM,Multi-territory MI (μ=1.7),30,All Regions,-1,Diseased Avg,MCMC,0.006462,,0.081066,1.053807,1.053807,1.000000
HCM,Multi-territory MI (μ=1.7),31,All Regions,-1,Overall Avg,Point Estimate,0.042431,0.125701,0.125701,,0.000000,
HCM,Multi-territory MI (μ=1.7),31,All Regions,-1,Overall Avg,MCMC,0.010324,,0.087166,1.067319,1.067319,1.000000
HCM,Multi-territory MI (μ=1.7),31,All Regions,-1,Diseased Avg,Point Estimate,0.042431,0.125701,0.125701,,0.000000,
HCM,Multi-territory MI (μ=1.7),31,All Regions,-1,Diseased Avg,MCMC,0.010324,,0.087166,1.067319,1.067319,1.000000
HCM,Multi-territory MI (μ=1.7),32,All Regions,-1,Overall Avg,Point Estimate,0.044680,0.145700,0.145700,,0.000000,
HCM,Multi-territory MI (μ=1.7),32,All Regions,-1,Overall Avg,MCMC,0.008374,,0.085872,1.088092,1.088092,1.000000
HCM,Multi-territory MI (μ=1.7),32,All Regions,-1,Diseased Avg,Point Estimate,0.044680,0.145700,0.145700,,0.000000,
HCM,Multi-territory MI (μ=1.7),32,All Regions,-1,Diseased Avg,MCMC,0.008374,,0.085872,1.088092,1.088092,1.000000
HCM,Multi-territory MI (μ=1.7),33,All Regions,-1,Overall Avg,Point Estimate,0.028288,0.100110,0.100110,,0.000000,
HCM,Multi-territory MI (μ=1.7),33,All Regions,-1,Overall Avg,MCMC,0.010725,,0.084111,1.033985,1.033985,1.000000
HCM,Multi-territory MI (μ=1.7),33,All Regions,-1,Diseased Avg,Point Estimate,0.028288,0.100110,0.100110,,0.000000,
HCM,Multi-territory MI (μ=1.7),33,All Regions,-1,Diseased Avg,MCMC,0.010725,,0.084111,1.033985,1.033985,1.000000
HCM,Multi-territory MI (μ=1.7),34,All Regions,-1,Overall Avg,Point Estimate,0.027733,0.099387,0.099387,,0.000000,
HCM,Multi-territory MI (μ=1.7),34,All Regions,-1,Overall Avg,MCMC,0.007557,,0.081650,1.000355,1.000355,1.000000
HCM,Multi-territory MI (μ=1.7),34,All Regions,-1,Diseased Avg,Point Estimate,0.027733,0.099387,0.099387,,0.000000,
HCM,Multi-territory MI (μ=1.7),34,All Regions,-1,Diseased Avg,MCMC,0.007557,,0.081650,1.000355,1.000355,1.000000
HCM,Multi-territory MI (μ=1.7),35,All Regions,-1,Overall Avg,Point Estimate,0.032286,0.102993,0.102993,,0.000000,
HCM,Multi-territory MI (μ=1.7),35,All Regions,-1,Overall Avg,MCMC,0.014264,,0.086732,1.021360,1.021360,1.000000
HCM,Multi-territory MI (μ=1.7),35,All Regions,-1,Diseased Avg,Point Estimate,0.032286,0.102993,0.102993,,0.000000,
HCM,Multi-territory MI (μ=1.7),35,All Regions,-1,Diseased Avg,MCMC,0.014264,,0.086732,1.021360,1.021360,1.000000
HCM,Multi-territory MI (μ=1.7),36,All Regions,-1,Overall Avg,Point Estimate,0.022801,0.085729,0.085729,,0.000000,
HCM,Multi-territory MI (μ=1.7),36,All Regions,-1,Overall Avg,MCMC,0.003388,,0.083526,1.098114,1.098114,1.000000
HCM,Multi-territory MI (μ=1.7),36,All Regions,-1,Diseased Avg,Point Estimate,0.022801,0.085729,0.085729,,0.000000,
HCM,Multi-territory MI (μ=1.7),36,All Regions,-1,Diseased Avg,MCMC,0.003388,,0.083526,1.098114,1.098114,1.000000
HCM,Multi-territory MI (μ=1.7),37,All Regions,-1,Overall Avg,Point Estimate,0.024357,0.094862,0.094862,,0.000000,
HCM,Multi-territory MI (μ=1.7),37,All Regions,-1,Overall Avg,MCMC,0.010091,,0.087967,1.080764,1.080764,1.000000
HCM,Multi-territory MI (μ=1.7),37,All Regions,-1,Diseased Avg,Point Estimate,0.024357,0.094862,0.094862,,0.000000,
HCM,Multi-territory MI (μ=1.7),37,All Regions,-1,Diseased Avg,MCMC,0.010091,,0.087967,1.080764,1.080764,1.000000
HCM,Multi-territory MI (μ=1.7),38,All Regions,-1,Overall Avg,Point Estimate,0.038607,0.124119,0.124119,,0.000000,
HCM,Multi-territory MI (μ=1.7),38,All Regions,-1,Overall Avg,MCMC,0.011988,,0.087226,1.022577,1.022577,1.000000
HCM,Multi-territory MI (μ=1.7),38,All Regions,-1,Diseased Avg,Point Estimate,0.038607,0.124119,0.124119,,0.000000,
HCM,Multi-territory MI (μ=1.7),38,All Regions,-1,Diseased Avg,MCMC,0.011988,,0.087226,1.022577,1.022577,1.000000
HCM,Multi-territory MI (μ=1.7),39,All Regions,-1,Overall Avg,Point Estimate,0.038435,0.120550,0.120550,,0.000000,
HCM,Multi-territory MI (μ=1.7),39,All Regions,-1,Overall Avg,MCMC,0.005958,,0.086135,1.109666,1.109666,1.000000
HCM,Multi-territory MI (μ=1.7),39,All Regions,-1,Diseased Avg,Point Estimate,0.038435,0.120550,0.120550,,0.000000,
HCM,Multi-territory MI (μ=1.7),39,All Regions,-1,Diseased Avg,MCMC,0.005958,,0.086135,1.109666,1.109666,1.000000
HCM,Multi-territory MI (μ=1.7),40,All Regions,-1,Overall Avg,Point Estimate,0.041489,0.130662,0.130662,,0.000000,
HCM,Multi-territory MI (μ=1.7),40,All Regions,-1,Overall Avg,MCMC,0.004342,,0.088038,1.172865,1.172865,1.000000
HCM,Multi-territory MI (μ=1.7),40,All Regions,-1,Diseased Avg,Point Estimate,0.041489,0.130662,0.130662,,0.000000,
